num_expediente,fecha,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S000001,2024-01-01T01:20:00Z,AUTOV. M-30 08NL00,08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,false,false
2024S000001,2024-01-01T01:20:00Z,AUTOV. M-30 08NL00,08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,false,false
2024S000001,2024-01-01T01:20:00Z,AUTOV. M-30 08NL00,08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,false,false
2024S000001,2024-01-01T01:20:00Z,AUTOV. M-30 08NL00,08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,false,false
2024S000002,2024-01-01T02:45:00Z,CALL. PUERTO ALTO 48,48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,0,Desconocido,443248.639,4471571.066,true,false
2024S000002,2024-01-01T02:45:00Z,CALL. PUERTO ALTO 48,48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,443248.639,4471571.066,false,false
2024S000002,2024-01-01T02:45:00Z,CALL. PUERTO ALTO 48,48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,443248.639,4471571.066,false,false
2024S000002,2024-01-01T02:45:00Z,CALL. PUERTO ALTO 48,48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,443248.639,4471571.066,false,false
2024S000004,2024-01-01T02:00:00Z,AVDA. DOCTOR GARCIA TAPIA 64,64,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 18 a 20 años,Mujer,0,Desconocido,444512.986,4473729.076,false,false
2024S000004,2024-01-01T02:00:00Z,AVDA. DOCTOR GARCIA TAPIA 64,64,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,0,Desconocido,444512.986,4473729.076,false,false
2024S000005,2024-01-01T02:45:00Z,AVDA. POBLADOS 80,80,11,CARABANCHEL,Colisión frontal,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,14,Sin asistencia sanitaria,436808.87,4469483.778,true,false
2024S000005,2024-01-01T02:45:00Z,AVDA. POBLADOS 80,80,11,CARABANCHEL,Colisión frontal,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,436808.87,4469483.778,false,false
2024S000005,2024-01-01T02:45:00Z,AVDA. POBLADOS 80,80,11,CARABANCHEL,Colisión frontal,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,436808.87,4469483.778,false,false
