num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 18 a 20 años;Mujer;1;Atención en urgencias sin posterior ingreso;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;443926,583;4473998,426;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;443248,639;4471571,066;S;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443248,639;4471571,066;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443248,639;4471571,066;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443248,639;4471571,066;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;443248,639;4471571,066;N;NULL
2024S000004;01/01/2024;2:00:00;AVDA. DOCTOR GARCIA TAPIA 64;64;14;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 18 a 20 años;Mujer;NULL;NULL;444512,986;4473729,076;N;NULL
2024S000004;01/01/2024;2:00:00;AVDA. DOCTOR GARCIA TAPIA 64;64;14;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;444512,986;4473729,076;N;NULL
2024S000005;01/01/2024;2:45:00;AVDA. POBLADOS 80;80;11;CARABANCHEL;Colisión frontal;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;436808,87;4469483,778;S;NULL
2024S000005;01/01/2024;2:45:00;AVDA. POBLADOS 80;80;11;CARABANCHEL;Colisión frontal;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;436808,87;4469483,778;N;NULL
2024S000005;01/01/2024;2:45:00;AVDA. POBLADOS 80;80;11;CARABANCHEL;Colisión frontal;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;436808,87;4469483,778;N;NULL
